gene,alias
OR1F12,OR1F12P|OR1F12Q|OR6-12|hs6M1-35P
OR1F2P,OLFMF2|OR16-3|OR1F11|OR1F2|OR1F3P|hg91
OR1G1,OR17-130|OR17-209|OR1G2
OR1H1P,OR1H1|OST26
OR1I1,OR19-20|OR1I1P|OR1I1Q
OR1J1,OR9-18|hg32
OR1J2,HG152|HSA5|OR1J3|OR1J5|OR9-19|OST044
OR1J4,HSHTPCRX01|HTPCRX01|OR9-21
OR1K1,hg99
OR1L1,HG23|OR1L2|OR9-27|OR9-C
OR1L3,OR9-28|OR9-D
OR1L4,OR1L5|OR9-29|OR9-E|OST046
OR1L6,HG16|OR1K1|OR1L7|OR9-30
OR1L8,OR9-24
OR1M1,OR19-5|OR19-6
OR1N1,OR1-26|OR1N3|OR9-22
OR1N2,OR9-23
OR1P1,OR17-208|OR1P1P
OR1Q1,HSTPCR106|OR1Q2|OR1Q3|OR9-25|OR9-A|OST226|OST226OR9-A|TPCR106
OR1R1P,OR17-01|OR17-1|OR1R2P|OR1R3P|OR20A1P
OR1S1,OR11-232|OST034
OR1S2,OR11-231
OR2A12,OR2A12P|OR2A16P
OR2A14,OR2A14P|OR2A6|OST182
OR2A15P,OR2A23P|OR2A28P
OR2A2,OR2A17P|OR2A2P|OR7-11|OST008
OR2A20P,OR2A20
OR2A25,OR2A24P|OR2A25P|OR2A27
OR2A3P,OR2A18P
OR2A4,OR2A10
OR2A5,OR2A11P|OR2A26|OR2A8|OR7-138|OR7-141
OR2A7,HSDJ0798C17|OR2A21
OR2A9P,FKSG35|HSDJ0798C17|OR2A19|OR2A22P|OR2A9
OR2AD1P,OR2AD1|hs6M1-8P
OR2AE1,OR2AE2
OR2AF1P,OR2AF2P
OR2AG1,OR11-79|OR2AG3
OR2AG2,OR11-76|OR2AG2P
OR2AJ1,OR2AJ1P|OR2AJ1Q
OR2AK2,OR1-47|OR2AK1P
OR2AM1P,OR37E
OR2AP1,OR2AP1P
OR2AT4,OR11-265
OR2B2,OR2B2Q|OR2B9|OR6-1|dJ193B12.4|hs6M1-10
OR2B3,6M1-1|OR2B3P|OR6-14|OR6-4
OR2B4P,hs6M1-22
OR2B6,OR2B1|OR2B1P|OR2B5|OR2B6P|OR5-40|OR5-41|OR6-31|dJ408B20.2
OR2B7P,hs6M1-31P
OR2B8P,OR2B8|OR6-10|dJ313I6.4|hs6M1-29P
OR2C1,OLFmf3|OR2C2P
OR2C3,OR2C4|OR2C5P|OST742
OR2D2,OR11-610|OR2D1|hg27
OR2D3,OR11-89
OR2E1P,HS29K1|HSNH0569I24|OR2E1|OR2E2|hs6M1-9|hs6M1-9p
OR2F1,7M1-2|OLF3|OR14-60|OR2F3|OR2F3P|OR2F4|OR2F5|OR7-139|OR7-140
OR2F2,OR7-1
OR2G1P,OR6-22|OST619|hs6M1-25
OR2G2,OR1-32
OR2G3,OR1-33
OR2H1,6M1-16|HS6M1-16|OLFR42A-9004-14|OLFR42A-9004.14/9026.2|OR2H6|OR2H8|OR6-2|dJ994E9.4
OR2H2,FAT11|OLFR2|OLFR42B|OR2H3|dJ271M21.2|hs6M1-12
OR2H4P,6M1-7P|OR2H4|OR6-21|OR6-3|dJ80I19.6|hs6M1-7
OR2H5P,HS271M21|OLFR42B|OR2H5|OR2H7|OR6-33|OR6-35|hs6M1-13
OR2I1P,HS6M1-14|OR2I1|OR2I2|OR2I3P|OR2I4P|OR2I5P|OR2I6|OR2I7P|OR2I8P|OR2I9P|OR6-1|OR6-34
OR2J1,6M1-4P|OR2J1P|OR6-15|OR6-5|dJ80I19.2|hs6M1-4
OR2J2,OR6-19|OR6-8|OR6.3.8|ORL684|dJ80I19.4|hs6M1-6
OR2J3,6M1-3|C3HEXS|HS6M1-3|OR6-16|OR6-6|OR6.3.6|ORL671
OR2J4P,OR6-20|OR6-9|dJ80I19.5|hs6M1-5
OR2K2,HSHTPCRH06|HTPCRH06|OR2AN1P|OR2AR1P
OR2L13,OR2L14
OR2L1P,HSHTPCRX02|HTPCRX02|OR2L1|OR2L7P
OR2L2,HSHTPCRH07|HTPCRH07|OR1-48|OR2L12|OR2L4P
OR2L5,OR2L11|OR2L5P
OR2M1P,JCG10|OR2M1|OST037
OR2M2,OR2M2Q|OST423
OR2M3,OR1-54|OR2M3P|OR2M6|OST003
OR2M4,HSHTPCRX18|HTPCRX18|OR1-55|OST710|TPCR100
OR2M5,OR2M5P
OR2M7,OR1-58
OR2N1P,HS6M1-2|OLFR89|OR6-7
OR2P1P,hs6M1-26
OR2Q1P,OR7-2
OR2R1P,OR2R1|OST058
OR2S1P,OR37D|OST611
OR2S2,OR37A|OST715
OR2T1,OR1-25
OR2T10,OR1-64
OR2T11,OR2T11Q
OR2T12,OR1-57
OR2T2,OR1-43|OR2T2P
OR2T33,OR1-56
OR2T4,OR1-60|OR2T4Q
OR2T5,OR1-62
OR2T6,OR2T6P|OR2T9|OST703
OR2T7,OR2T7P|OST723
OR2T8,OR2T8P
OR2U1P,OR2AU1P|hs6M1-24
OR2U2P,OR6-24|hs6M1-23
OR2V1,OR2V1P|OST265
OR2V2,OR2V3|OST713
OR2W1,hs6M1-15
OR2W2P,hs6M1-30P
OR2W3,OR2W3P|OR2W8P|OST718
OR2W5,OR2W5P|OST722
OR2W6P,OR2W7P
OR2Y1,OR5-2
OR2Z1,OR19-4|OR2Z2
OR3A1,OLFRA03|OR17-40|OR17-82|OR40
OR3A2,OLFRA04|OR17-14|OR17-228|OR228
OR3A3,OR17-137|OR17-16|OR17-201|OR3A6|OR3A7|OR3A8P
OR3A4P,OLFRA05|OLFRA06|OR17-13|OR17-16|OR17-24|OR17-25|OR24|OR25|OR3A4|OR3A5P
OR3A5P,OLFRA06|OR17-25|OR25
OR4A10P,OR4A25P
OR4A15,OR11-118
OR4A16,OR11-117|OR4A16Q
OR4A17P,OR4A22P
OR4A1P,OR11-30|OR4A20P
OR4A47,OR11-113
OR4A4P,OR4A4
OR4A5,OR11-111
OR4A8,OR4A8P
OR4B1,OR11-106|OST208
OR4B2P,hg449
OR4C11,OR11-136|OR4C11P
OR4C12,OR11-259
OR4C15,OR11-127|OR11-134
OR4C16,OR11-135
OR4C1P,HSHTPCRX11|HTPCRX11|OR4C1
OR4C2P,OR4C8P
OR4C3,OR11-98
OR4C4P,OR4C17|OR4C17P|OR4C47P
OR4C5,OR4C5P|OR4C5Q
OR4C6,OR11-138
OR4D1,OR17-23|OR4D3|OR4D4P|TPCR16
OR4D10,OR11-251|OR4D10P|OST711
OR4D11,OR4D11P
OR4D12P,OR7E103P
OR4D2,BC2009|OR17-24
OR4D5,OR11-276
OR4D6,OR11-250
OR4D7P,OST724
OR4D9,OR11-253
OR4E1,OR4E1P
OR4E2,OR14-42
OR4F13P,GPCRLTM7
OR4F14P,OR4F14
OR4F16,OR1-1|OR7-21
OR4F17,OR4F11P|OR4F18|OR4F19
OR4F1P,HSDJ0609N19|OR4F1
OR4F21,OR4F21P
OR4F29,OR7-21
OR4F2P,HS191N21|OR4F2|S191N21|hs6M1-11
OR4F4,OLA-7501|OR4F18
OR4F6,OR15-15|OR4F12
OR4F7P,OR4F10
OR4F8P,OR4F20P|OR4F9P
OR4G1P,OLB|OR4G8P
OR4G2P,OR4G7P
OR4G3P,OLC|OLC-7501|OR4G3|OR4G5P
OR4G6P,OR11-302
OR4H12P,C14orf14|OR4H12|c14_5009
OR4H6P,OR14-58|OR15-69|OR15-71|OR15-80|OR15-81|OR15-82|OR4-114|OR4-115|OR4-119|OR4H10|OR4H10P|OR4H11|OR4H11P|OR4H1P|OR4H2|OR4H2P|OR4H3|OR4H3P|OR4H4|OR4H4P|OR4H5|OR4H5P|OR4H6|OR4H7|OR4H7P|OR4H8|OR4H8P|OR4H9|OR4H9P|OR5-39|OR5-84
OR4K1,OR14-19
OR4K11P,OR21-1
OR4K12P,OR21-2
OR4K13,OR14-27
OR4K14,OR14-18|OR14-22
OR4K15,OR14-20|OR4K15Q
OR4K16P,OR14-24
OR4K17,OR14-29
OR4K2,OR14-15
OR4K3,OR14-10|OR4K3P
OR4K5,OR14-16
OR4K7P,OR4K10P
OR4K8P,OR18-1|OR4K9P
OR4L1,OR14-28|OR4L2P
OR4M1,OR14-7
OR4M2,OR15-3
OR4N1P,OR14-12|OR14-6
OR4N2,OR14-13|OR14-8
OR4N3P,OR15-2
OR4N4,OR15-1|OR15-5
OR4P1P,OR4P2P
OR4P4,OR4P3P
OR4Q2,OR4Q2P
OR4Q3,C14orf13|HSA6|OR14-3|OR4Q4|c14_5008
OR4S1,OR11-100
OR4S2,OR11-137|OR4S2P|OST725
OR4U1P,OR14-23
OR4X1,OR11-104
OR4X2,OR11-105
OR51A10P,OR51A11P|OR51A13
OR51A1P,HPFH6OR
OR51A7,OR11-27
OR51B2,HOR5'Beta3|OR51B1P
OR51B4,HOR5'Beta1
OR51B5,HOR5'Beta5|OR11-37
OR51B6,HOR5'Beta6
OR51C1P,OR51C2P|OR51C3P|OST734
OR51D1,OR11-14|OR51D1Q
OR51E1,D-GPCR|DGPCR|GPR136|GPR164|OR51E1P|OR52A3P|POGR|PSGR2
OR51E2,OR51E3P|OR52A2|PSGR
OR51F1,OR11-21|OR51F1P
OR51F2,OR11-23
OR51G1,OR11-29|OR51G3P
OR51G2,OR11-28
OR51H1,OR51H1P
OR51I2,OR11-38
OR51J1,OR51J1P|OR51J2
OR51L1,OR11-31
OR51M1,HOR5'Beta7|OR11-40
OR51P1P,OR51P2P
OR51S1,OR11-24
OR51T1,OR11-26
OR51V1,OR11-36|OR51A12
OR52A1,HPFH1OR
OR52A4P,OR52A4
OR52A5,OR11-33
OR52B1P,PJCG4
OR52B2,OR11-70
OR52B3P,PJCG7
OR52B4,OR11-3
OR52B6,OR11-47
OR52D1,OR11-43
OR52E1,OR52E1P
OR52E4,OR11-55
OR52E5,OR11-56
OR52E6,OR11-58
OR52E8,OR11-54
OR52H1,OR11-41|OR11-45
OR52I1,OR11-13
OR52I2,OR11-12|OR52I1
OR52J2P,OR52J4P
OR52J3,OR11-32
OR52K1,OR11-8
OR52K2,OR11-7
OR52L1,OR11-50
OR52L2P,OR52L2
OR52M1,OR11-11|OR52M1P|OR52M3P
OR52M2P,OR52M4
OR52N1,OR11-61
OR52N2,OR11-57
OR52N3P,OR11-60
OR52N4,OR11-64
OR52N5,OR11-62|OR52N5Q
OR52P1P,OR11-66|OR52P1
OR52R1,OR11-22
OR52W1,OR11-71|OR52W1P
OR52Y1P,OR52Y2P
OR52Z1,OR52Z1P
OR55B1P,OR55B2P|OR55C1P
OR56A1,OR11-75
OR56A3,OR56A2P|OR56A3P|OR56A6
OR56A4,OR11-49
OR56A5,OR56A5P
OR56B1,OR11-65|OR56B1P
OR56B2P,OR11-63|OR56B2
OR56B4,OR11-67
OR5A1,OR11-249|OR5A1P|OST181
OR5AC1,OR5AC1P
OR5AC2,HSA1
OR5AK1P,OR5AK5P
OR5AK3P,OR5AK3
OR5AK4P,PJCG3
OR5AL1,OR5AL1P
OR5AN1,OR11-244
OR5AP2,OR9J1
OR5AQ1P,OR11-165
OR5AR1,OR11-209
OR5AS1,OR11-168
OR5AU1,OR14-38
OR5B10P,OR13-34|OR13-64|OR13-67|OR5B10|OR5B11|OR5B11P|OR5B18P|OR5B4P
OR5B12,OR11-241|OR5B12P|OR5B16|OST743
OR5B17,OR11-237|OR5B20P
OR5B1P,OR3-144|OR5B14P|OR5B5|OR5B5P|OR5B6|OR5B6P|OR5B7|OR5B7P|OR5B8|OR5B8P|OR5B9|OR5B9P|OR6-55|OR6-57|OR8-122|OR8-123|OR912-92
OR5B2,OR11-240|OST073
OR5B3,OR11-239|OR5B13|OST129
OR5BH1P,OR5BH2P
OR5BJ1P,OST740
OR5BN1P,OR11-161
OR5BQ1P,OR5BQ2P
OR5BS1P,OR5BS1
OR5C1,OR5C2P|OR9-31|OR9-F
OR5D14,OR11-141|OR11-150
OR5D16,OR11-154
OR5D18,OR11-143
OR5D2P,OR11-7a|OR18-17|OR18-42|OR18-43|OR18-44|OR18-79|OR5D10P|OR5D11|OR5D11P|OR5D12|OR5D12P|OR5D1P|OR5D5P|OR5D6P|OR5D7P|OR5D8P|OR5D9P|OR8-125|OR8-127|OR912-47|OR912-91|OR912-94|R5D9P
OR5D3P,OR11-8b|OR11-8c|OR5D3|OR5D4
OR5E1P,HSTPCR24|OR5E1|TPCR24
OR5F1,OR11-10
OR5G1P,OR11-104|OR5G2P|OR93|OR93HUM
OR5G3,OR5G3P|OR5G6P
OR5H1,HSHTPCRX14|HTPCRX14
OR5H2,OR3-10
OR5H4P,OR3-5
OR5H5P,OR3-3
OR5H6,OR3-11
OR5H7P,OR3-6
OR5H8,OR3-7|OR5H8P
OR5I1,HSOlf1|OLF1
OR5J1P,HTPCRH02|OR11-169|OR5J1
OR5J2,OR11-266
OR5K1,HSHTPCRX10|HTPCRX10|OR3-8
OR5K2,OR3-9
OR5L1,OR11-151|OST262
OR5L2,HSHTPCRX16|HTPCRX16|OR11-153
OR5M1,OR11-208|OST050
OR5M10,OR11-207
OR5M11,OR11-199
OR5M14P,OR5M15P
OR5M2P,OR11-193
OR5M3,OR11-191
OR5M8,OR11-194
OR5M9,OR11-190
OR5P1P,PJCG1
OR5P2,JCG3|JCG4
OR5P3,JCG1
OR5P4P,OST730
OR5R1,OR11-185|OR5R1P
OR5T1,OR11-179|OR5T1P
OR5T2,OR11-177
OR5T3,OR11-178|OR5T3Q
OR5V1,6M1-21|hs6M1-21
OR5W1P,OR11-144
OR5W2,OR5W2P|OR5W3P
OR6A2,I7|OR11-55|OR6A1|OR6A2P
OR6B1,OR7-3|OR7-9
OR6B2,OR2-1|OR6B2P
OR6B3,OR6B3P|OR6B3Q
OR6C1,OST267
OR6C2,OR6C67
OR6C3,OST709
OR6C4,OR12-10
OR6D1P,OR6D2P
OR6F1,OR1-34|OR1-38|OST731
OR6J1,OR6J1P|OR6J2
OR6K2,OR1-17
OR6K3,OR1-18
OR6K6,OR1-21
OR6M1,OR11-271
OR6N1,OR1-22
OR6N2,OR1-23
OR6Q1,OR11-226
OR6S1,OR14-37|OR6S1Q
OR6T1,OR11-277
OR6U2P,OR6U1P
OR6V1,GPR138
OR6W1P,OR6W1|sdolf
OR6X1,OR11-270
OR6Y1,OR1-11|OR6Y2
OR7A10,BC85395_3|OR19-18
OR7A11P,OR7A11|OST527
OR7A15P,OR19-1|OR19-134|OR19-146|OR7A16P|OR7A20P|OR7A4P
OR7A17,BC85395_4|HTPCRX19
OR7A1P,OLF4p|OR19-3|OR7A6P|hg513
OR7A2P,OLF4p|OR19-18|OR7A2|OR7A7|hg1003
OR7A3P,OR11-7b|OR14-11|OR14-59|OR19-12|OR7A12P|OR7A13P|OR7A14|OR7A14P
OR7A5,HTPCR2
OR7A8P,HG83|OR19-11|OR7A9P|OST042
OR7C1,CIT-HSP-146E8|HSTPCR86P|OR19-5|OR7C4|TPCR86
OR7C2,CIT-HSP-87M17|OR19-18|OR7C3
OR7D1P,OR19-131|OR19-A|OR7D3|OR7D3P
OR7D2,HTPCRH03|OR19-10|OR19-4
OR7D4,OR19-7|OR19-B|OR19B|OR7D4P|hg105
OR7E100P,OR7E135P
OR7E102P,OR7E102
OR7E105P,OR14-NP1
OR7E106P,OR14-NP2|OR7E34P|OR7E40P|OST011|OST215
OR7E108P,OST726
OR7E109P,OR7E113P|OST721
OR7E10P,OR11-1
OR7E110P,OR7E68P|OR7E71P|OR7E72P|OR7E73P|OR7E74P|OR7E75P|OR912-108|OR912-109|OR912-110|OR912-46|hg523|hg674
OR7E115P,OR10-2|OST704
OR7E116P,OR7E112P|OST733
OR7E117P,OST716
OR7E11P,OR11-2|OR7E144P
OR7E122P,OST719
OR7E125P,PJCG6
OR7E126P,OR11-1|hg500
OR7E12P,HG1058|OR11-3|OR7E58P|OR7E79P|OR7E81P|OST021
OR7E130P,OST702
OR7E136P,OR7E139P|OR7E147P
OR7E13P,OR11-4|OR7E44P|OST022|PJCG2
OR7E148P,OR7E150P
OR7E14P,OR11-5|OR7E151P
OR7E15P,OR11-392|OR7E42P|OR7E80P|OST001
OR7E162P,OR7E77|OR7E77P|OST060
OR7E16P,OR19-133|OR19-9|OR7E17P|OR7E60P
OR7E18P,HSTPCR26P|OR19-14|OR7E61|OR7E98P|TPCR26
OR7E19P,HSCIT-B-440L2|OR19-7|OR7E65|TPCR11|tpcr110
OR7E21P,OR4DG|OR7E127P|OR7E141P|OR7E142P|OR7E49P|OST035
OR7E22P,OR3.6|OR6DG
OR7E23P,OR21-1|OR21-3|OR7E92P
OR7E24,HSHT2|OR19-8|OR7E24P|OR7E24Q
OR7E25P,CIT-B-440L2|OR19-12|OR19-C
OR7E26P,OR1-51|OR1-72|OR1-73|OR7E67P|OR7E68P|OR7E69P|OR7E70P|OR7E71P|OR7E72P|OR7E73P|OR7E74P|OR7E75P|OR912-108|OR912-109|OR912-110|OR912-46|OR912-95|hg523|hg674
OR7E28P,OR7E107P|OR7E133P|OR7E27P|OST128|hg616
OR7E29P,OR7E30P|OST032|OST339
OR7E2P,OR11-6|OR7E143P|OR7E51P|OR7E52P|OR7F2P|OST245|hg94
OR7E31P,OR7E114P|OR7E32P|OR7E45P|OR9-4|OST016|OST049|OST205
OR7E33P,hg688
OR7E35P,OR7E120|OST018
OR7E36P,OR7E119P|OST024
OR7E37P,OR7E48P|OST193|hg533
OR7E38P,OR7E76|OST127
OR7E39P,OR7E138P|hg611
OR7E41P,OR11-20|OR7E50P|OR7E95P|OR7F6P|OR8-126|hg84
OR7E43P,OR4-116|OR7E124P|OST712
OR7E46P,MCEEP|OST379
OR7E47P,OR7E141
OR7E4P,OR11-11a|OR7E9P|OR7F4P|OST289
OR7E53P,OR3-142|OR3-143|OR7E132P|OR7E78|OR7E78P
OR7E55P,OR2DG|OR3.2|OR7E56P|OR7E57P|OST007|OST013
OR7E59P,OR7E137P|OR7E59|OST119
OR7E5P,OR11-12|OR11-156|OR7F5P
OR7E62P,OR2-4|OR2-52|OR2-53|OR2-75|OR7E62|OR7E63|OR7E63P|OR7E64|OR7E64P|OR7E82P|PJCG8|PJCG9
OR7E66P,OR3.3|OR3DG|OR7E20P|OR7E6P|hg630
OR7E83P,OR7E134P
OR7E84P,OR7E54P|OST185
OR7E85P,OR7E118P|OR7E88P
OR7E87P,OR11-261|OR11-9|OR7E3P|OR7F3P
OR7E8P,OR11-11a
OR7E90P,OR7E123P|OST705
OR7E93P,OR7E131P
OR7G1,OR19-15|OR19-8|OR7G1P
OR7G2,OR19-6|OST260
OR7G3,OST085
OR7H1P,OR7H1
OR8A1,OR11-318|OST025
OR8B12,OR11-317
OR8B1P,OR11-561|OR8B11P
OR8B2,OR11-309|OR11-310
OR8B3,OR11-311
OR8B4,OR11-315|OR8B4P
OR8B7P,OR8B13P
OR8B8,TPCR85
OR8C1P,OR11-175|OR8C3P|OR8C4P|OR912-106|OR912-45
OR8D1,JCG9|OR8D3|OST004|PDJ9J14
OR8D2,JCG2
OR8D4,OR11-275
OR8G1,HSTPCR25|OR8G1P|TPCR25
OR8G2P,HSTPCR120|OR8G2|OR8G4|ORL206|ORL486|TPCR120
OR8G5,OR11-298|OR8G5P|OR8G6
OR8H1,OR11-180
OR8H2,OR11-171
OR8H3,OR11-172
OR8I2,OR11-170
OR8J1,OR11-183
OR8J2,OR8J2P
OR8J3,OR11-173
OR8K1,OR11-182|OR8N1P
OR8K3,OR11-181
OR8K5,OR11-174
OR8L1P,OR11-115
OR8V1P,OR11-267
OR9A1P,HSHTPCRX06|HTPCRX06|OR9A1|OR9A5P
OR9A3P,OR9A6P
OR9G1,OR9G5
OR9G2P,OR9G6
OR9G4,OR11-216
OR9G9,OR9G1
OR9H1P,UNQ9373
OR9I1,OR11-228
OR9I3P,OST714
OR9K1P,OR12-4
OR9K2,OR12-2
OR9L1P,OR9L2P
OR9M1P,OR5BG1P
OR9P1P,OR9P2P
OR9Q2,OR9Q2P
OR9S24P,OR5J6P
ORAI1,CRACM1|IMD9|ORAT1|TAM2|TMEM142A
ORAI2,C7orf19|CBCIP2|MEM142B|TMEM142B
ORAI3,TMEM142C
ORAOV1,TAOS1
ORC1,HSORC1|ORC1L|PARC1
ORC2,ORC2L
ORC3,LAT|LATHEO|ORC3L
ORC4,ORC4L|ORC4P
ORC5,ORC5L|ORC5P|ORC5T|PPP1R117
ORC6,ORC6L
ORI6,Or6
ORM1,AGP-A|AGP1|HEL-S-153w|ORM
ORM2,AGP-B|AGP-B'|AGP2
ORMDL2,HSPC160|MST095|MSTP095|adoplin-2
OS4,GOA1
OS9,ERLEC2|OS-9
OSBP,OSBP1
OSBP2,HLM|ORP-4|ORP4|OSBPL1|OSBPL4
OSBPL10,ORP10|OSBP9
OSBPL11,ORP-11|ORP11|OSBP12|TCCCIA00292
OSBPL1A,ORP-1|ORP1|OSBPL1B
OSBPL2,DFNA67|DNFA67|ORP-2|ORP2
OSBPL3,ORP-3|ORP3|OSBP3
OSBPL5,OBPH1|ORP5
OSBPL6,ORP6
OSBPL7,ORP7
OSBPL8,MST120|MSTP120|ORP8|OSBP10
OSBPL9,ORP-9|ORP9
OSCAR,PIGR3|PIgR-3
OSCP1,C1orf102|NOR1
OSER1,C20orf111|HSPC207|Osr1|Perit1|dJ1183I21.1
OSGEP,GAMOS3|GCPL1|KAE1|OSGEP1|PRSMG1|TCS3
OSGEPL1,OSGEPL|Qri7
OSGIN1,BDGI|OKL38
OSGIN2,C8orf1|hT41
OSMR,IL-31R-beta|IL-31RB|OSMRB|PLCA1
OSMR-AS1,CTD-2127H9.1
OSR1,ODD
OSTC,DC2
OSTCP1,DC2L|OSTCL
OSTEAR3_H,OA3_H
OSTF1,OSF|SH3P2|bA235O14.1
OSTF1P1,OSTF1P
OSTM1,GIPN|GL|HSPC019|OPTB5
OSTN,MUSCLIN
OTC,OCTD
OTDD,C11DELq13|DEL11q13
OTOA,CT108|DFNB22
OTOF,AUNB1|DFNB6|DFNB9|FER1L2|NSRD9
OTOG,DFNB18B|MLEMP|OTGN
OTOGL,C12orf64|DFNB84B
OTOL1,C1QTNF15|C1QTNF16
OTOR,FDP|MIAL1
OTOS,OTOSP
OTSC1,OTS
OTUB1,HSPC263|OTB1|OTU1
OTUB2,C14orf137|OTB2|OTU2
OTUD1,DUBA7|OTDC1
OTUD3,DUBA4
OTUD4,DUBA6|HIN1|HSHIN1
OTUD4P1,HIN1L
OTUD5,DUBA
OTUD6A,DUBA2|HSHIN6
OTUD6B,CGI-77|DUBA-5|DUBA5|IDDFSDA
OTUD6B-AS1,GS1-251I9.4
OTUD7A,C15orf16|C16ORF15|CEZANNE2|OTUD7
OTUD7B,CEZANNE|ZA20D1
OTULIN,AIPDS|FAM105B|GUM
OTX2,CPHD6|MCOPS5
OTX2-AS1,OTX2OS1
OTX2P1,OTX2P
OVAAL,LINC01131|OVAL
OVCH1,OVCH
OVCH2,OVTN
OVGP1,CHIT5|EGP|MUC9|OGP
OVOL1,HOVO1
OVOL2,CHED|CHED1|CHED2|EUROIMAGE566589|PPCD1|ZNF339
OVOL3,HOVO3
OXA1L,OXA1
OXCT1,OXCT|SCOT
OXCT2,FKSG25|SCOTT
OXCT2P1,OXCT2P
OXER1,GPCR|GPR170|TG1019
OXGR1,GPR80|GPR99|P2RY15|P2Y15|aKGR
OXLD1,C17orf90
OXR1,Nbla00307|TLDC3
OXSM,CEM1|FASN2D|KASI|KS
OXSR1,OSR1
OXT,OT|OT-NPI|OXT-NPI
OXTR,OT-R
P2RX1,P2X1
P2RX2,DFNA41|P2X2
P2RX3,P2X3
P2RX4,P2X4|P2X4R
P2RX5,LRH-1|P2X5|P2X5R
P2RX6,P2RXL1|P2X6|P2XM
P2RX7,P2X7
P2RY1,P2Y1|SARCC
P2RY10,LYPSR2|P2Y10
P2RY10BP,P2RY10P2
P2RY10P1,GPR121P|P2Y10P1
P2RY11,P2Y11
P2RY12,ADPG-R|BDPLT8|HORK3|P2T(AC)|P2Y(12)R|P2Y(AC)|P2Y(ADP)|P2Y(cyc)|P2Y12|SP1999
P2RY13,FKSG77|GPCR1|GPR86|GPR94|P2Y13|SP174
P2RY14,BPR105|GPR105|P2Y14
P2RY2,HP2U|P2RU1|P2U|P2U1|P2UR|P2Y2|P2Y2R
P2RY4,NRU|P2P|P2Y4|UNR
P2RY6,P2Y6
P2RY8,P2Y8
P3H1,GROS1|LEPRE1|OI8
P3H2,LEPREL1|MCVD|MLAT4
P3H2-AS1,LEPREL1-AS1
P3H3,GRCB|HSU47926|LEPREL2
P3H4,LEPREL4|NO55|NOL55|SC65
P4HA1,P4HA
P4HA2,MYP25
P4HB,CLCRP1|DSI|ERBA2L|GIT|P4Hbeta|PDI|PDIA1|PHDB|PO4DB|PO4HB|PROHB
P4HTM,EGLN4|HIFPH4|P4H-TM|PH-4|PH4|PHD4
PA2G4,EBP1|HG4-1|p38-2G4
PA2G4P1,PA2G4P
PA2G4P2,PA2G4L5|bA102J14.2
PA2G4P3,HsT2542|PA2G4L4
PA2G4P4,PA2G4L1
PA2G4P5,PA2G4L2
PA2G4P6,PA2G4L3
PAAF1,PAAF|Rpn14|WDR71
PABPC1,PAB1|PABP|PABP1|PABPC2|PABPL1
PABPC1L,C20orf119|EPAB|PABPC1L1|dJ1069P2.3
PABPC1L2A,RBM32A
PABPC1L2B,RBM32B
PABPC1P1,PABP1|PABPCP1
PABPC1P10,D3S3192|PAB1|PABPL1
PABPC1P2,PABP2|PABP4|PABPCP2|PABPCP4
PABPC1P3,PABP3|PABPCP3
PABPC1P4,PABPCP5|PABPL2
PABPC3,PABP3|PABPL3|tPABP
PABPC4,APP-1|APP1|PABP4|iPABP
PABPC5,PABP5
PABPC5-AS1,CXorf46
PABPN1,OPMD|PAB2|PABII|PABP-2|PABP2
PABPN1L,PABPNL1|ePABP2
PACERR,PACER|PTGS2-AS1|PTGS2AS1
PACRG,GLUP|HAK005771|PARK2CRG
PACRGL,C4orf28
PACS1,MRD17|SHMS
PACS2,PACS-2|PACS1L
PACSIN1,SDPI
PACSIN2,SDPII
PACSIN3,SDPIII
PADI1,HPAD10|PAD1|PDI|PDI1
PADI2,PAD-H19|PAD2|PDI2
PADI3,PAD3|PDI3|UHS1
PADI4,PAD|PAD4|PADI5|PDI4|PDI5
PADI6,PREMBL2|hPADVI
PAEP,GD|GdA|GdF|GdS|PAEG|PEP|PP14|ZIF-1
PAF1,F23149_1|PD2
PAFAH1B1,LIS1|LIS2|MDCR|MDS|NudF|PAFAH
PAFAH1B1P1,LIS2|PAFAH1P1
PAFAH1B1P2,LIS2P|PAFAH1P2
PAFAH1B2,HEL-S-303
PAFAH1B3,PAFAHG
PAFAH2,HSD-PLA2
PAG1,CBP|PAG
PAGE1,AL5|CT16.3|GAGE-9|GAGEB1|PAGE-1
PAGE2,CT16.4|GAGEC2|GAGEE2|PAGE-2
PAGE2B,CT16.5|GAGEE3|PAGE-2B
PAGE3,CT16.6|GAGED1|PAGE-3
PAGE4,CT16.7|GAGE-9|GAGEC1|JM-27|JM27|PAGE-1|PAGE-4
PAGE5,CT16|CT16.1|CT16.2|GAGEE1|PAGE-5
PAGR1,C16orf53|GAS|PA1
PAH,PH|PKU|PKU1
PAICS,ADE2|ADE2H1|AIRC|PAIS
PAIP1P1,bCX300M20.3|bPG254M11.3|bQB44E15.5
PAIP2,PAIP-2|PAIP2A
PAK1,PAKalpha
PAK1IP1,MAK11|PIP1|WDR84|bA421M1.5|hPIP1
PAK2,PAK65|PAKgamma
PAK3,ARA|MRX30|MRX47|OPHN3|PAK-3|PAK3beta|bPAK|beta-PAK
PAK5,PAK7
PAK6,PAK5
PALB2,FANCN|PNCA3
PALD1,KIAA1274|PALD
